supplier,food,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,Mean
As_Suweida,Meat,15939.98,16329.18,16636.41,17174.49,16797.31,16794.9,17378.8,7754.64,7889.63,7932.52,7961.05,7957.73,7763.52,7766.88,7763.84,7764.56,7763.56,7766.16,7763.52,7765.96,7765.56,7767.16,7766.64,7378.65,7378.35,7572.63,7766.6,8737.78,8737.83,9898.95,10550.22,12457.58,10675.28,9708.75,9223.31,11165.06,13236.91,14077.69,14896.46,15731.57,16034.41,23423.86,25130.65,20492.98,21469.15,22910.53,23411.04,24551.7,27090.19,28762.65,32901.26,14824.7,15900,15900,15900,15900,15900,15900,13751.05
As_Suweida,Milk,1289.26,1283.01,1279.72,1285.17,1283.13,1282.94,1283,533.13,529.18,532.06,533.97,533.75,533.74,533.97,533.76,533.81,533.74,533.92,533.74,533.91,533.88,533.99,533.96,533.98,533.96,533.97,485.41,493.53,493.53,485.24,517.81,550.07,509.5,477.34,485.44,485.44,462.14,558.25,597.57,637.56,669.15,1084.57,1341.42,1563.02,1556.48,1562.37,1796.19,1949.58,1949.98,2096.26,2495.38,1113.18,1113,1113,1104.02,1160.02,1209.28,1272,905.35
As_Suweida,Oil,3750.58,3732.38,3722.83,3738.66,3966.03,3965.46,3965.63,1550.93,1443.23,1354.33,1262.12,1164.55,1261.57,1238.82,1213.1,1164.68,1164.53,1164.92,1164.53,1164.89,1164.83,1165.07,1213.54,1262.14,1262.09,1359.19,1310.61,1310.67,1423.94,1407.2,1553.41,1569.32,1924.79,2896.45,4061.5,4822.01,5112.63,3883.5,3883.5,3887.54,2702.79,4971.71,6123.37,5538.97,6104.32,7620.74,8364.3,8860.2,10076.99,11797.56,17658.48,7109.32,6012.85,5923.86,6118.08,6059.1,6237.22,6659.19,3854.6
As_Suweida,Rice,1523.67,1516.28,1512.4,1518.83,1516.42,1516.21,1516.27,630.06,625.4,628.8,631.06,630.8,582.26,533.97,504.65,485.29,485.22,485.39,485.22,485.37,485.35,518.46,664.05,664.08,664.05,664.06,864.03,533.98,590.62,760.22,760.53,760.4,760.22,889.98,1019.42,1084.14,1150.82,1213.59,1213.59,2548.92,2464.9,2993.85,3206.83,3000.15,2769.78,2824.45,3020.57,3223.3,3491.09,3932.53,4997.06,2172.46,2159.75,2002.95,1992.63,1985.79,2144.74,2167.02,1485.76
As_Suweida,Sugar,1875.29,1866.19,1977.75,1869.33,1810.38,1810.12,1726.22,684.35,644.64,561.08,485.43,485.23,533.74,524.26,514.35,504.7,504.63,504.8,504.63,456.25,454.29,489.33,506.77,485.44,485.42,533.97,485.41,582.52,728.15,824.91,582.53,760.4,711.69,720.06,752.43,954.7,1093.21,1051.79,1156.31,1264.09,1226.16,2490.37,2580.14,2170.86,2186.1,2438.06,2748.1,2982.86,3259.41,3916.26,4999.14,1935.69,1764.9,1636.37,1624.19,1863.12,2249.85,2364.48,1360.39
As_Suweida,Wheatflour,1289.26,1283.01,1279.72,1285.17,1283.13,1282.94,1283,509.87,481.08,483.69,485.43,485.23,485.22,436.89,436.72,436.76,436.7,436.85,436.7,436.84,427.11,427.19,456.29,518.45,549.49,566.98,533.95,647.24,598.7,679.34,849.52,792.75,566.12,517.81,598.7,857.61,858.25,873.79,1094.51,1316.57,1260.74,2216.96,2320.23,2018.9,2057.74,2188.15,2964.34,3064.74,3119.97,3396.27,3897.2,1855.29,1848.82,1823.53,1702.84,1628.47,1590,1649.84,1194.98
Damascus,Beans,2226.91,2216.1,2210.43,2219.83,2216.31,2215.99,2216.09,920.86,914.04,923.85,922.32,1043.24,1067.48,1084.45,1071.41,1116.16,1107.28,1129.01,1124.74,1124.12,1124.06,1100.99,1165,1133.01,1513.53,1642.68,1715.12,1634.29,1650.48,1633.65,1610.37,1790.43,1790,1855.45,1925.57,2087.38,2524.28,2955.77,3406.26,3860.76,3939.78,5358.8,7096.24,7328.12,7067.22,7030.66,7965.13,10474.88,10817.1,11022.97,12631.37,5671.61,5118.04,5000.59,5153.82,5103.24,5202.98,5722.29,3360.25
Damascus,Bulgur,1371.31,1364.65,1337.89,1343.58,1341.45,1341.26,1341.32,589.35,615.78,617.19,616.5,594.89,591.97,587.37,570.64,567.78,555.09,578.58,566.74,582.45,582.42,574.77,565.99,570.87,574.73,574.74,574.41,574.43,574.43,590.38,604.1,617.49,630.81,565.99,570.87,574.73,574.74,1165.05,1165.05,1587.42,1672.61,2329.6,2519.7,2592.37,2540.09,2554.25,2712.18,2882.78,2921.82,3120.02,3786.05,1921.85,1699.24,1602.14,1612.23,1674.77,1740.46,1904.44,1213.61
Damascus,Cheese,7032.35,7231.49,6980.31,6542.66,6065.7,6064.83,6065.09,2496.02,2501.59,2611.93,2645.59,2717.27,2717.23,2572.78,2588.27,2620.54,2652.23,2491,2409.6,2361.82,2361.7,2427.24,2410.57,2459.23,2459.13,2588.29,2653.59,2605.15,2491.9,2490.91,2362.8,2421.4,2480.11,2502.7,2545.85,2605.18,2885.44,2847.9,3164.19,3484.1,3613.5,4624.92,5298.26,6019.81,7198.72,7428.25,8347.21,9234.94,10188.13,11158.39,11450.09,4691.64,4937.64,4951.82,5213.38,5525.68,6434.79,7328.25,4401.05
Damascus,Chickpeas,2402.72,2391.06,2559.45,2804,3032.85,3265.68,3265.82,1357.06,1347.01,1402.7,1407.75,1504.21,1504.18,1424.25,1395.55,1370.44,1350.86,1416.35,1407.14,1407.58,1375.47,1343.72,1295.09,1213.59,1205.78,1204.82,1205.44,1197.41,1181.23,1225.24,1197.42,986.9,997.44,997.84,997.84,976.27,1367.64,1693.64,1666.68,1641.41,1646.06,2393.22,2707.29,2708.52,2752.21,3495.03,3226.81,3085.54,3137.34,3179.6,4412.7,2503.18,2433.88,2085.4,2462.11,2561.67,2691.51,2924.69,1955.07
