date,units_sold,price,region,year,month,peak
2015-06-21,4.01938471,0.97,Southeast,2015,6,1
2015-06-21,0.42588558,1.18,Northern_New_England,2015,6,1
2015-06-21,6.47895208,0.93,West,2015,6,1
2015-06-28,3.33631435,1.07,Great_Lakes,2015,6,1
2015-06-28,0.45280132,1.14,Northern_New_England,2015,6,1
2015-06-28,5.61775222,1.03,West,2015,6,1
2015-06-28,32.4087057,1.06,Total_US,2015,6,1
2015-06-28,3.02604811,1.14,Southeast,2015,6,1
2015-06-28,6.02410365,0.77,SouthCentral,2015,6,1
2015-06-28,4.10093247,1.3,Northeast,2015,6,1
2015-06-28,1.82618248,1.08,Plains,2015,6,1
2015-06-28,2.83563041,1.14,Midsouth,2015,6,1
2015-07-05,37.94367034,1.04,Total_US,2015,7,1
2015-07-05,3.77400427,1.13,Great_Lakes,2015,7,1
2015-07-05,6.38028771,0.83,SouthCentral,2015,7,1
2015-07-05,0.53664298,1.15,Northern_New_England,2015,7,1
2015-07-05,4.85527371,1.24,Northeast,2015,7,1
2015-07-05,6.7490812,0.98,West,2015,7,1
2015-07-05,1.9883119,1.06,Plains,2015,7,1
2015-07-05,3.1834196,1.13,Midsouth,2015,7,1
2015-07-05,4.29528016,0.99,Southeast,2015,7,1
2015-07-12,31.66003168,1.07,Total_US,2015,7,1
2015-07-12,3.07723712,1.14,Great_Lakes,2015,7,1
2015-07-12,2.78355482,1.13,Midsouth,2015,7,1
2015-07-12,2.74874596,1.17,Southeast,2015,7,1
2015-07-12,5.79150896,1.01,West,2015,7,1
2015-07-12,4.45413891,1.2,Northeast,2015,7,1
2015-07-12,5.54436695,0.82,SouthCentral,2015,7,1
2015-07-12,1.80884207,1.07,Plains,2015,7,1
2015-07-12,0.5092152,1.1,Northern_New_England,2015,7,1
2015-07-19,3.81095039,0.99,Southeast,2015,7,1
2015-07-19,3.43686441,1.12,Great_Lakes,2015,7,1
2015-07-19,1.70198681,1.09,Plains,2015,7,1
2015-07-19,32.32464766,1.07,Total_US,2015,7,1
2015-07-19,0.59445188,1.03,Northern_New_England,2015,7,1
2015-07-19,5.70394056,0.83,SouthCentral,2015,7,1
2015-07-19,2.75119277,1.14,Midsouth,2015,7,1
2015-07-19,5.52529895,1.04,West,2015,7,1
2015-07-19,4.1692132,1.27,Northeast,2015,7,1
2015-07-26,5.82252179,0.81,SouthCentral,2015,7,1
