Plant,Year,Month,Day,Hour,Cost
Bowen,2007,7,17,15,28.63927954
Bowen,2007,7,17,16,16.43563403
Bowen,2007,7,17,17,14.50825915
Bowen,2007,7,17,18,13.75651173
Bowen,2007,7,17,19,14.56992912
Bowen,2007,7,17,20,16.15169845
Bowen,2007,7,17,21,15.21606693
Bowen,2007,7,17,22,10.99840024
Bowen,2007,7,17,23,6.946680773
Bowen,2007,7,17,24,4.576696856
Bowen,2007,7,18,1,4.1906598
Bowen,2007,7,18,2,6.651107286
Bowen,2007,7,18,3,10.33976254
Bowen,2007,7,18,4,13.40551167
Bowen,2007,7,18,5,15.79966737
Bowen,2007,7,18,6,17.91811676
Bowen,2007,7,18,7,20.56776002
Bowen,2007,7,18,8,19.76014481
Bowen,2007,7,18,9,16.8342658
Bowen,2007,7,18,10,13.92469738
Bowen,2007,7,18,11,10.93334691
Bowen,2007,7,18,12,10.33885149
Bowen,2007,7,18,13,9.621840362
Bowen,2007,7,18,14,7.679017218
Bowen,2007,7,18,15,18.74482578
Bowen,2007,7,18,16,42.49832172
Bowen,2007,7,18,17,51.4569712
Bowen,2007,7,18,18,50.78159005
Bowen,2007,7,18,19,48.42898051
Bowen,2007,7,18,20,51.06644941
Bowen,2007,7,18,21,59.83451723
Bowen,2007,7,18,22,78.09480205
Bowen,2007,7,18,23,100.9119392
Bowen,2007,7,18,24,117.2276204
Bowen,2007,7,19,1,122.8897243
Bowen,2007,7,19,2,126.4177295
Bowen,2007,7,19,3,128.1005267
Bowen,2007,7,19,4,124.1127744
Bowen,2007,7,19,5,112.4421014
Bowen,2007,7,19,6,101.7688679
Bowen,2007,7,19,7,92.61273777
Bowen,2007,7,19,8,78.04537215
Bowen,2007,7,19,9,60.34151095
Bowen,2007,7,19,10,44.76835627
Bowen,2007,7,19,11,36.22183102
Bowen,2007,7,19,12,29.93387012
Bowen,2007,7,19,13,26.39342555
Bowen,2007,7,19,14,28.57845562
Bowen,2007,7,19,15,31.36883583
Bowen,2007,7,19,16,38.03824802
Bowen,2007,7,19,17,38.93316979
Bowen,2007,7,19,18,43.95916731
Bowen,2007,7,19,19,58.82898956
Bowen,2007,7,19,20,78.97550842
Bowen,2007,7,19,21,86.64774559
Bowen,2007,7,19,22,87.27350927
Bowen,2007,7,19,23,84.19419957
Bowen,2007,7,19,24,80.15262083
Bowen,2007,7,20,1,72.03074095
Bowen,2007,7,20,2,55.39291386
Bowen,2007,7,20,3,40.32128275
Bowen,2007,7,20,4,29.09190833
Bowen,2007,7,20,5,20.13979296
Bowen,2007,7,20,6,15.08144429
Bowen,2007,7,20,7,10.65862267
Bowen,2007,7,20,8,8.199121888
Bowen,2007,7,20,9,5.385056537
Bowen,2007,7,20,10,3.412907859
Bowen,2007,7,20,11,2.14201351
Bowen,2007,7,20,12,1.332626995
Bowen,2007,7,20,13,0.747268728
Bowen,2007,7,20,14,0.903049171
Bowen,2007,7,20,15,9.35984594
Bowen,2007,7,20,16,17.50855375
Bowen,2007,7,20,17,19.64699814
